"Annees","Mois","Mesures","Profondeur",
"2022","1","12","15"
"2022","2","14","13"
"2022","3","30","12"
"2022","4","31","9"
"2022","5","30","9"
"2022","6","31","10"
"2022","7","28","8"
"2022","8","29","7"
"2022","9","31","6"
"2022","10","27","5"
"2022","11","22","7"
"2022","12","24","10"
"2023","1","30","14"
"2023","2","31","16"
"2023","3","30","17"
"2023","4","31","19"
"2023","5","31","18"
"2023","6","30","14"
"2023","7","25","13"
"2023","8","25","12"
"2023","9","31","11"
"2023","10","29","16"
"2023","11","37","17"
"2023","12","38","20"
